Q,A
드라세나 드라코의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
드라세나 드라코의 습도 알려 주세요.,습도는 40 에서 70% 
드라세나 드라코의 비료 알려 주세요.,비료는 보통 요구함 (수용성비료 2주에 한번 줌) 
드라세나 드라코의 토양 알려 주세요.,"토양은 가볍고, 건조잘되는것, 양질토, 모래, 산도(알칼리, 중성), 일반화분용토양(토양자체가 단단하면 모래 또는 펄라이트, 피트모스를 추가하여 흙을 만듬) "
드라세나 드라코의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
드라세나 드라코의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
드라세나 마지나타의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
드라세나 마지나타의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
드라세나 마지나타의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
드라세나 마지나타의 생장속도 알려 주세요.,생장속도는 느림 
드라세나 마지나타의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
드라세나 마지나타의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
드라세나 마지나타의 습도 알려 주세요.,습도는 40 에서 70% 
드라세나 마지나타의 비료 알려 주세요.,비료는 보통 요구함(봄에서 가을 완효성 규칙적으로 줌) 
드라세나 마지나타의 토양 알려 주세요.,"토양은 건조하고 가벼운 토양 / 산성, 알카리 "
드라세나 마지나타의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
드라세나 마지나타의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
드라세나 맛상게아나의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
드라세나 맛상게아나의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
드라세나 맛상게아나의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
드라세나 맛상게아나의 생장속도 알려 주세요.,생장속도는 보통 
드라세나 맛상게아나의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
드라세나 맛상게아나의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
드라세나 맛상게아나의 습도 알려 주세요.,습도는 40 에서 70% 
드라세나 맛상게아나의 비료 알려 주세요.,비료는 보통 요구함(수용성비료 2주에 한번 줌) 
드라세나 맛상게아나의 토양 알려 주세요.,토양은 화분용영양토 
드라세나 맛상게아나의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
드라세나 맛상게아나의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
드라세나 산데리아나의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
드라세나 산데리아나의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
드라세나 산데리아나의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
드라세나 산데리아나의 생장속도 알려 주세요.,생장속도는 느림 
드라세나 산데리아나의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
드라세나 산데리아나의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
드라세나 산데리아나의 습도 알려 주세요.,습도는 40 에서 70% 
드라세나 산데리아나의 비료 알려 주세요.,비료는 보통 요구함(봄에서 가을 완효성 규칙적으로 줌) 
드라세나 산데리아나의 토양 알려 주세요.,"토양은 물빠짐이 좋은토양, 양질토, 모래, 중성(산도) "
드라세나 산데리아나의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
드라세나 산데리아나의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
드라세나 산데리아나 '세레스'의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
드라세나 산데리아나 '세레스'의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
드라세나 산데리아나 '세레스'의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm) "
드라세나 산데리아나 '세레스'의 생장속도 알려 주세요.,생장속도는 보통 
드라세나 산데리아나 '세레스'의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
드라세나 산데리아나 '세레스'의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
드라세나 산데리아나 '세레스'의 습도 알려 주세요.,습도는 40 에서 70% 
드라세나 산데리아나 '세레스'의 비료 알려 주세요.,비료는 보통 요구함 
드라세나 산데리아나 '세레스'의 토양 알려 주세요.,토양은 건조한 토양 
드라세나 산데리아나 '세레스'의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
드라세나 수르쿨로사의 관리요구도 알려 주세요.,관리요구도는 필요함 
드라세나 수르쿨로사의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
드라세나 수르쿨로사의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
드라세나 수르쿨로사의 생장속도 알려 주세요.,생장속도는 느림 
드라세나 수르쿨로사의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
드라세나 수르쿨로사의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
드라세나 수르쿨로사의 습도 알려 주세요.,습도는 40% 미만 
드라세나 수르쿨로사의 비료 알려 주세요.,비료는 보통 요구함(동절기 비료주지 않음) 
드라세나 수르쿨로사의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
디지고데카의 관리요구도 알려 주세요.,관리요구도는 필요함 
디지고데카의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
디지고데카의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
디지고데카의 생장속도 알려 주세요.,생장속도는 빠름 
디지고데카의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
디지고데카의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
디지고데카의 습도 알려 주세요.,습도는 40 에서 70% 
디지고데카의 비료 알려 주세요.,비료는 보통 요구함 
디지고데카의 토양 알려 주세요.,"토양은 좋은 배수와 균등 습한 토양 / 양질토, 모래 / 중성, 알카리 "
디지고데카의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
디펜바키아 '마리안느'의 관리요구도 알려 주세요.,관리요구도는 필요함 
디펜바키아 '마리안느'의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
디펜바키아 '마리안느'의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
디펜바키아 '마리안느'의 생장속도 알려 주세요.,생장속도는 느림 
디펜바키아 '마리안느'의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
디펜바키아 '마리안느'의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
디펜바키아 '마리안느'의 습도 알려 주세요.,습도는 40 에서 70% 
디펜바키아 '마리안느'의 비료 알려 주세요.,비료는 많이 요구함 
디펜바키아 '마리안느'의 토양 알려 주세요.,"토양은 산성, 중성 / 양질토, 모래 "
디펜바키아 '마리안느'의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
디펜바키아 '트로픽스노우'의 관리요구도 알려 주세요.,관리요구도는 필요함 
디펜바키아 '트로픽스노우'의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
디펜바키아 '트로픽스노우'의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
디펜바키아 '트로픽스노우'의 생장속도 알려 주세요.,생장속도는 빠름 
디펜바키아 '트로픽스노우'의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
디펜바키아 '트로픽스노우'의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
디펜바키아 '트로픽스노우'의 습도 알려 주세요.,습도는 40 에서 70% 
디펜바키아 '트로픽스노우'의 비료 알려 주세요.,비료는 많이 요구함 
디펜바키아 '트로픽스노우'의 토양 알려 주세요.,"토양은 산성, 중성 / 양질토 "
디펜바키아 '트로픽스노우'의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
디펜바키아 '트로픽스노우'의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
떡갈잎 고무나무의 관리요구도 알려 주세요.,관리요구도는 필요함 
떡갈잎 고무나무의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
떡갈잎 고무나무의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
떡갈잎 고무나무의 생장속도 알려 주세요.,생장속도는 보통 
떡갈잎 고무나무의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
떡갈잎 고무나무의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
떡갈잎 고무나무의 습도 알려 주세요.,습도는 40 에서 70% 
떡갈잎 고무나무의 비료 알려 주세요.,비료는 보통 요구함(봄과 여름 2주에 한번씩 수용성 비료 줌) 
떡갈잎 고무나무의 토양 알려 주세요.,"토양은 산성, 중성, 알칼리성 / 양질토, 모래 "
떡갈잎 고무나무의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
떡갈잎 고무나무의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
러브체인의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
러브체인의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
러브체인의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
러브체인의 생장속도 알려 주세요.,생장속도는 보통 
러브체인의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
러브체인의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
러브체인의 습도 알려 주세요.,습도는 40% 미만 
러브체인의 비료 알려 주세요.,"비료는 거의 요구하지않음 (2회/년, 4월, 7월 수용성비료 줌) "
러브체인의 토양 알려 주세요.,토양은 화분용영양토 
러브체인의 물주기 알려 주세요.,"물주기 봄은 화분 흙 대부분 말랐을때 충분히 관수함 ,여름은 화분 흙 대부분 말랐을때 충분히 관수함 ,가을은 화분 흙 대부분 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
러브체인의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
렉스베고니아의 관리요구도 알려 주세요.,관리요구도는 필요함 
렉스베고니아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
렉스베고니아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
렉스베고니아의 생장속도 알려 주세요.,생장속도는 보통 
렉스베고니아의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
렉스베고니아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
렉스베고니아의 습도 알려 주세요.,습도는 40 에서 70% 
렉스베고니아의 비료 알려 주세요.,비료는 보통 요구함(봄과 가을에 수용성 2주에 한번 줌) 
렉스베고니아의 토양 알려 주세요.,"토양은 중성 / 양질토, 모래 "
렉스베고니아의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
렉스베고니아의 병충해 알려 주세요.,병충해는 거미진드기 등 (가정과 온실 도입시 유의 제거) 
루모라고사리의 관리요구도 알려 주세요.,관리요구도는 특별 관리 요구 
루모라고사리의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
루모라고사리의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
루모라고사리의 생장속도 알려 주세요.,생장속도는 보통 
루모라고사리의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
루모라고사리의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
루모라고사리의 습도 알려 주세요.,습도는 70% 이상 
루모라고사리의 비료 알려 주세요.,비료는 보통 요구함 
루모라고사리의 토양 알려 주세요.,"토양은 산성, 중성 / 점토, 양질토 "
루모라고사리의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
루모라고사리의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 벌레 확인! 
루스커스의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
루스커스의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
루스커스의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
루스커스의 생장속도 알려 주세요.,생장속도는 보통 
루스커스의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
루스커스의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
루스커스의 습도 알려 주세요.,습도는 40 에서 70% 
루스커스의 비료 알려 주세요.,비료는 보통 요구함 
루스커스의 토양 알려 주세요.,토양은 배수 잘 됨 / 모래 
루스커스의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
루스커스의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
마란타 류코뉴라의 관리요구도 알려 주세요.,관리요구도는 필요함 
마란타 류코뉴라의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
마란타 류코뉴라의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
마란타 류코뉴라의 생장속도 알려 주세요.,생장속도는 빠름 
마란타 류코뉴라의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
마란타 류코뉴라의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
마란타 류코뉴라의 습도 알려 주세요.,습도는 40 에서 70% 
마란타 류코뉴라의 비료 알려 주세요.,비료는 보통 요구함(가을에 수용성 2주에 한번 줌) 
마란타 류코뉴라의 토양 알려 주세요.,"토양은 산성, 중성, 알칼리 / 양질토, 모래 / 건조한 토양 "
마란타 류코뉴라의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
마란타 류코뉴라의 병충해 알려 주세요.,"병충해는 거미진드기, 작은벌레 등 (가정과 온실 도입시 유의 제거) "
마삭줄의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
마삭줄의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
마삭줄의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
마삭줄의 생장속도 알려 주세요.,생장속도는 보통 
마삭줄의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
마삭줄의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
마삭줄의 습도 알려 주세요.,습도는 40 에서 70% 
마삭줄의 비료 알려 주세요.,비료는 보통 요구함 (2에서 3개월에 한번씩 수용성 비료 줌) 
마삭줄의 토양 알려 주세요.,"토양은 산성, 중성, 알칼리성 / 점토, 양질토, 모래 "
마삭줄의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
마삭줄의 병충해 알려 주세요.,병충해는 개각충 (가정과 온실 도입시 유의 제거) 
만년청의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
만년청의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
만년청의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
만년청의 생장속도 알려 주세요.,생장속도는 보통 
만년청의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
만년청의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
만년청의 습도 알려 주세요.,습도는 40 에서 70% 
만년청의 비료 알려 주세요.,비료는 보통 요구함 
만년청의 토양 알려 주세요.,"토양은 물빠짐이 좋은 토양 / 모래, 경석, 하이드로볼 "
만년청의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
만년청의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
만데빌라의 관리요구도 알려 주세요.,관리요구도는 필요함 
만데빌라의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
만데빌라의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
만데빌라의 생장속도 알려 주세요.,생장속도는 보통 
만데빌라의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
만데빌라의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
만데빌라의 습도 알려 주세요.,습도는 40 에서 70% 
만데빌라의 비료 알려 주세요.,"비료는 보통 요구함(반희석한 수용성 봄, 여름 2주에 한번 줌) "
만데빌라의 토양 알려 주세요.,"토양은 산성, 중성, 알칼리성 / 양질토, 모래 / 건조한토양 "
만데빌라의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
만데빌라의 병충해 알려 주세요.,병충해는 진딧물 
멕시코소철의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
멕시코소철의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
멕시코소철의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
멕시코소철의 생장속도 알려 주세요.,생장속도는 빠름 
멕시코소철의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
멕시코소철의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
멕시코소철의 습도 알려 주세요.,습도는 40 에서 70% 
멕시코소철의 비료 알려 주세요.,비료는 거의 요구하지않음 
멕시코소철의 토양 알려 주세요.,"토양은 산성, 중성, 알칼리성 / 양질토, 모래 "
멕시코소철의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
멕시코소철의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
멜라니 고무나무의 관리요구도 알려 주세요.,관리요구도는 필요함 
멜라니 고무나무의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
멜라니 고무나무의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
멜라니 고무나무의 생장속도 알려 주세요.,생장속도는 보통 
멜라니 고무나무의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
멜라니 고무나무의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
멜라니 고무나무의 습도 알려 주세요.,습도는 40 에서 70% 
멜라니 고무나무의 비료 알려 주세요.,"비료는 보통 요구함 (봄, 여름에 수용성 2주에 한번 줌) "
멜라니 고무나무의 토양 알려 주세요.,"토양은 산성, 중성, 알칼리성 / 양질토, 모래 / 건조한토양 "
멜라니 고무나무의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
멜라니 고무나무의 병충해 알려 주세요.,병충해는 가정과 온실 도입시 유의 제거 
목베고니아의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
목베고니아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
목베고니아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
목베고니아의 생장속도 알려 주세요.,생장속도는 보통 
목베고니아의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
목베고니아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
목베고니아의 습도 알려 주세요.,습도는 40 에서 70% 
목베고니아의 비료 알려 주세요.,비료는 보통 요구함 
목베고니아의 토양 알려 주세요.,"토양은 중성(pH 6-7) / 모래, 식양토 "
목베고니아의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
목베고니아의 병충해 알려 주세요.,"병충해는 삽주벌레 등 (깨끗한 용기에 심기, 가정과 온실 도입시 유의 제거) "
몬스테라의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
몬스테라의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
몬스테라의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
몬스테라의 생장속도 알려 주세요.,생장속도는 보통 
몬스테라의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
몬스테라의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
몬스테라의 습도 알려 주세요.,습도는 70% 이상 
몬스테라의 비료 알려 주세요.,"비료는 보통 요구함(봄, 여름에 수용성 2주에 한번 줌) "
몬스테라의 토양 알려 주세요.,"토양은 산성, 중성 / 양질토, 모래 "
